Payment ID,Order ID,Payment Type
372,16029,Credit Card
373,26932,Gift Card/Voucher
374,25066,Gift Card/Voucher
375,17856,Gift Card/Voucher
376,5208,Debit Card
377,3420,Debit Card
378,18435,Cash
379,36156,Gift Card/Voucher
380,28411,Debit Card
381,12592,Gift Card/Voucher
382,29231,Gift Card/Voucher
383,38827,Cash
384,6194,Debit Card
385,30526,Debit Card
386,37026,Credit Card
387,9838,Gift Card/Voucher
388,1693,Debit Card
389,27432,Gift Card/Voucher
390,30303,Gift Card/Voucher
391,14881,Cash
392,34620,Credit Card
393,24089,Gift Card/Voucher
394,28097,Credit Card
395,38748,Gift Card/Voucher
396,39073,Debit Card
397,616,Gift Card/Voucher
398,2466,Cash
399,24156,Credit Card
400,37562,Credit Card
401,12735,Cash
402,9412,Gift Card/Voucher
403,7551,Gift Card/Voucher
404,29998,Gift Card/Voucher
405,25426,Cash
406,23235,Cash
407,25990,Debit Card
408,27673,Debit Card
409,15885,Debit Card
410,9453,Credit Card
411,23015,Gift Card/Voucher
412,14783,Cash
413,36147,Credit Card
414,8672,Cash
415,21056,Gift Card/Voucher
416,27818,Credit Card
417,35282,Debit Card
418,22456,Debit Card
419,32592,Debit Card
420,9567,Gift Card/Voucher
421,20746,Credit Card
422,17920,Cash
423,35539,Debit Card
424,33833,Credit Card
425,13948,Debit Card
426,12070,Gift Card/Voucher
427,2494,Gift Card/Voucher
428,22485,Gift Card/Voucher
429,13915,Cash
430,29089,Cash
431,10952,Credit Card
432,37340,Debit Card
433,14658,Debit Card
434,7528,Cash
435,29164,Gift Card/Voucher
436,28349,Cash
437,25372,Cash
438,33053,Debit Card
439,15491,Credit Card
440,22419,Credit Card
441,34965,Cash
442,3271,Gift Card/Voucher
443,37575,Cash
444,30816,Cash
445,33103,Debit Card
446,18522,Debit Card
447,3519,Debit Card
448,1584,Cash
449,27382,Cash
450,24701,Credit Card
451,7967,Cash
452,3575,Debit Card
453,3604,Credit Card
454,5376,Credit Card
455,25018,Credit Card
456,13841,Cash
457,61,Cash
458,18505,Gift Card/Voucher
459,30768,Credit Card
460,38528,Debit Card
461,18564,Debit Card
462,17878,Gift Card/Voucher
463,20839,Credit Card
464,33580,Cash
465,37674,Cash
466,22206,Gift Card/Voucher
467,39525,Debit Card
468,5243,Gift Card/Voucher
469,17076,Gift Card/Voucher
470,32935,Debit Card
471,24519,Gift Card/Voucher
472,32542,Credit Card
473,18380,Cash
474,17932,Cash
475,8434,Cash
476,24346,Debit Card
477,13558,Debit Card
478,21005,Credit Card
479,2094,Credit Card
480,30591,Cash
481,16933,Credit Card
482,1026,Gift Card/Voucher
483,735,Debit Card
484,4101,Credit Card
485,21257,Debit Card
486,13285,Cash
487,16647,Cash
488,29192,Gift Card/Voucher
489,24699,Cash
490,14097,Debit Card
491,18448,Gift Card/Voucher
492,28215,Cash
493,20181,Debit Card
494,9459,Gift Card/Voucher
495,23534,Cash
496,35647,Cash
497,12,Debit Card
498,21259,Credit Card
499,11267,Cash
500,26889,Debit Card
501,15207,Gift Card/Voucher
502,26948,Gift Card/Voucher
503,16429,Credit Card
504,30093,Cash
505,10931,Cash
506,14830,Cash
507,3825,Cash
508,817,Credit Card
509,7229,Cash
510,23655,Cash
511,36276,Credit Card
512,32569,Debit Card
513,29997,Credit Card
514,2250,Debit Card
515,5747,Credit Card
516,30470,Gift Card/Voucher
517,2910,Cash
518,39457,Credit Card
519,8186,Credit Card
520,35512,Debit Card
521,33931,Credit Card
522,30162,Debit Card
523,25657,Gift Card/Voucher
524,27315,Cash
525,36036,Debit Card
526,20433,Credit Card
527,4031,Cash
528,20027,Gift Card/Voucher
529,3277,Credit Card
530,32661,Cash
531,10430,Debit Card
532,36495,Credit Card
533,18524,Debit Card
534,11436,Credit Card
535,37610,Gift Card/Voucher
536,30727,Cash
537,19594,Gift Card/Voucher
538,23572,Credit Card
539,23862,Debit Card
540,14723,Debit Card
541,19189,Debit Card
542,18957,Cash
543,30585,Debit Card
544,21660,Gift Card/Voucher
545,8946,Gift Card/Voucher
546,28655,Gift Card/Voucher
547,28896,Gift Card/Voucher
548,30963,Credit Card
549,17684,Gift Card/Voucher
550,1277,Gift Card/Voucher
551,37080,Debit Card
552,28038,Gift Card/Voucher
553,2979,Credit Card
554,20109,Cash
555,15790,Cash
556,30567,Credit Card
557,23964,Gift Card/Voucher
558,8044,Debit Card
559,15436,Cash
560,25856,Credit Card
561,23747,Gift Card/Voucher
562,5710,Cash
563,2300,Debit Card
564,20324,Debit Card
565,16035,Gift Card/Voucher
566,6712,Cash
567,21729,Cash
568,7614,Debit Card
569,14490,Credit Card
570,35196,Cash
571,311,Credit Card
572,10722,Credit Card
573,33918,Gift Card/Voucher
574,9170,Cash
575,22528,Debit Card
576,27843,Credit Card
577,4251,Debit Card
578,25665,Credit Card
579,11024,Credit Card
580,4536,Credit Card
581,27590,Debit Card
582,9771,Debit Card
583,13045,Cash
584,16475,Cash
585,14779,Cash
586,3157,Cash
587,22946,Cash
588,26708,Credit Card
589,6909,Credit Card
590,16797,Cash
591,28899,Debit Card
592,10470,Gift Card/Voucher
593,16307,Credit Card
594,21732,Cash
595,32857,Cash
596,6728,Gift Card/Voucher
597,14703,Credit Card
598,39940,Credit Card
599,3637,Credit Card
600,12496,Cash
601,8380,Debit Card
602,14070,Debit Card
603,7526,Gift Card/Voucher
604,21174,Credit Card
605,25808,Credit Card
606,802,Debit Card
607,31297,Cash
608,27254,Gift Card/Voucher
609,12222,Gift Card/Voucher
610,32695,Gift Card/Voucher
611,34838,Credit Card
612,4957,Debit Card
613,11854,Gift Card/Voucher
614,25088,Credit Card
615,38725,Cash
616,5401,Debit Card
617,8855,Credit Card
618,14759,Gift Card/Voucher
619,6300,Credit Card
620,6472,Credit Card
621,24061,Credit Card
622,28826,Debit Card
623,25749,Debit Card
624,37998,Debit Card
625,29385,Gift Card/Voucher
626,3963,Credit Card
627,19400,Debit Card
628,21107,Gift Card/Voucher
629,21618,Debit Card
630,16792,Credit Card
631,36457,Debit Card
632,15810,Credit Card
633,10602,Credit Card
634,6201,Credit Card
635,6210,Debit Card
636,22108,Debit Card
637,36119,Gift Card/Voucher
638,17711,Debit Card
639,34431,Cash
640,12095,Cash
641,5721,Gift Card/Voucher
642,36656,Gift Card/Voucher
643,24904,Debit Card
644,31499,Debit Card
645,20762,Credit Card
646,6600,Debit Card
647,27000,Cash
648,39892,Gift Card/Voucher
649,18117,Debit Card
650,5571,Cash
651,14481,Gift Card/Voucher
652,23380,Debit Card
653,11521,Debit Card
654,22056,Debit Card
655,6372,Debit Card
656,2681,Gift Card/Voucher
657,22545,Gift Card/Voucher
658,26811,Cash
659,23647,Gift Card/Voucher
660,2433,Debit Card
661,19620,Debit Card
662,30240,Cash
663,29365,Credit Card
664,31528,Gift Card/Voucher
665,18885,Credit Card
666,33578,Cash
667,4144,Cash
668,38137,Debit Card
669,1963,Gift Card/Voucher
670,1838,Cash
671,21961,Cash
672,18650,Debit Card
673,10601,Debit Card
674,28927,Debit Card
675,18384,Gift Card/Voucher
676,25842,Debit Card
677,3020,Cash
678,15263,Cash
679,15679,Debit Card
680,17200,Credit Card
681,25779,Debit Card
682,4018,Debit Card
683,4831,Debit Card
684,4837,Cash
685,27650,Cash
686,4617,Debit Card
687,29777,Cash
688,19596,Gift Card/Voucher
689,4944,Gift Card/Voucher
690,29264,Cash
691,274,Cash
692,15724,Debit Card
693,38968,Cash
694,7594,Debit Card
695,29431,Debit Card
696,14619,Credit Card
697,9987,Credit Card
698,21674,Credit Card
699,16784,Gift Card/Voucher
700,19022,Credit Card
701,1699,Gift Card/Voucher
702,5293,Gift Card/Voucher
703,6413,Cash
704,6510,Debit Card
705,18804,Cash
706,31580,Debit Card
707,20070,Cash
708,4066,Credit Card
709,1563,Credit Card
710,18401,Gift Card/Voucher
711,9311,Credit Card
712,38206,Debit Card
713,37383,Debit Card
714,8697,Credit Card
715,38527,Credit Card
716,30113,Gift Card/Voucher
717,30530,Cash
718,6374,Cash
719,18716,Cash
720,37369,Credit Card
721,24543,Debit Card
722,20157,Debit Card
723,36899,Cash
724,3935,Gift Card/Voucher
725,18175,Credit Card
726,17059,Debit Card
727,38868,Cash
728,8284,Credit Card
729,19749,Cash
730,30832,Debit Card
731,5687,Gift Card/Voucher
732,1449,Gift Card/Voucher
733,640,Credit Card
734,7626,Gift Card/Voucher
735,8146,Debit Card
736,34993,Gift Card/Voucher
737,1601,Debit Card
738,18707,Debit Card
739,22142,Cash
740,32077,Gift Card/Voucher
741,3754,Debit Card
742,10972,Debit Card
743,4252,Gift Card/Voucher
744,3824,Cash
745,13907,Gift Card/Voucher
746,3494,Debit Card
747,28129,Debit Card
748,30965,Gift Card/Voucher
749,30890,Debit Card
750,9221,Credit Card
751,10865,Debit Card
752,8820,Credit Card
753,21480,Debit Card
754,8325,Cash
755,38169,Debit Card
756,34883,Credit Card
757,30536,Credit Card
758,11447,Credit Card
759,23275,Credit Card
760,38127,Credit Card
761,29517,Credit Card
762,18568,Credit Card
763,20588,Credit Card
764,25311,Cash
765,20221,Cash
766,36073,Debit Card
767,6240,Gift Card/Voucher
768,1543,Cash
769,8306,Credit Card
770,26654,Credit Card
771,27819,Credit Card
772,15652,Cash
773,2881,Gift Card/Voucher
774,27933,Cash
775,9247,Debit Card
776,24228,Credit Card
777,13618,Debit Card
778,13568,Credit Card
779,9491,Credit Card
780,16086,Credit Card
781,14668,Cash
782,39140,Credit Card
783,10633,Debit Card
784,23233,Credit Card
785,16190,Cash
786,11885,Debit Card
787,19592,Cash
788,13480,Debit Card
789,30233,Cash
790,36917,Gift Card/Voucher
791,26877,Credit Card
792,13693,Credit Card
793,25601,Credit Card
794,26369,Debit Card
795,17948,Cash
796,22822,Gift Card/Voucher
797,33173,Cash
798,30989,Cash
799,4025,Cash
800,1044,Gift Card/Voucher
801,31867,Debit Card
802,33666,Gift Card/Voucher
803,23938,Credit Card
804,15254,Debit Card
805,14876,Debit Card
806,36889,Credit Card
807,26796,Cash
808,10902,Credit Card
809,32715,Debit Card
810,19364,Gift Card/Voucher
811,2999,Gift Card/Voucher
812,20840,Debit Card
813,3935,Debit Card
814,38724,Cash
815,15085,Debit Card
816,24249,Credit Card
817,7910,Debit Card
818,24815,Gift Card/Voucher
819,4847,Debit Card
820,33145,Credit Card
821,11904,Gift Card/Voucher
822,4471,Credit Card
823,27563,Credit Card
824,17375,Credit Card
825,28935,Credit Card
826,37822,Debit Card
827,10343,Debit Card
828,35192,Debit Card
829,31614,Cash
830,20985,Cash
831,9325,Gift Card/Voucher
832,28400,Gift Card/Voucher
833,15849,Credit Card
834,2763,Gift Card/Voucher
835,7579,Cash
836,32739,Debit Card
837,2549,Credit Card
838,2754,Debit Card
839,20946,Debit Card
840,20637,Gift Card/Voucher
841,23571,Debit Card
842,35856,Credit Card
843,29217,Debit Card
844,18466,Credit Card
845,27287,Credit Card
846,31077,Gift Card/Voucher
847,14535,Gift Card/Voucher
848,31189,Gift Card/Voucher
849,37078,Credit Card
850,27299,Cash
851,28920,Credit Card
852,37267,Cash
853,16953,Gift Card/Voucher
854,1623,Debit Card
855,20854,Gift Card/Voucher
856,23022,Debit Card
857,17426,Cash
858,5185,Gift Card/Voucher
859,21829,Credit Card
860,22177,Cash
861,14060,Debit Card
862,35614,Gift Card/Voucher
863,34524,Gift Card/Voucher
864,2662,Gift Card/Voucher
865,9020,Gift Card/Voucher
866,8798,Debit Card
867,17322,Gift Card/Voucher
868,23739,Credit Card
869,17979,Gift Card/Voucher
870,17649,Cash
871,26623,Cash
872,29154,Debit Card
873,4088,Gift Card/Voucher
874,37107,Credit Card
875,2490,Debit Card
876,10631,Cash
877,3490,Debit Card
878,5165,Debit Card
879,21942,Cash
880,36803,Cash
881,23489,Credit Card
882,9656,Credit Card
883,31238,Debit Card
884,20746,Cash
885,18416,Credit Card
886,39331,Credit Card
887,15460,Credit Card
888,19868,Cash
889,19342,Gift Card/Voucher
890,31366,Gift Card/Voucher
891,14861,Debit Card
892,22829,Gift Card/Voucher
893,20226,Debit Card
894,20564,Cash
895,10327,Cash
896,2240,Gift Card/Voucher
897,20729,Cash
898,9207,Debit Card
899,15176,Debit Card
900,29944,Cash
901,12271,Cash
902,844,Debit Card
903,16623,Debit Card
904,32844,Credit Card
905,17577,Cash
906,27305,Debit Card
907,12624,Cash
908,9067,Gift Card/Voucher
909,12223,Cash
910,33879,Debit Card
911,18399,Gift Card/Voucher
912,9824,Gift Card/Voucher
913,13016,Credit Card
914,227,Credit Card
915,26121,Gift Card/Voucher
916,8829,Cash
917,12932,Cash
918,21347,Debit Card
919,12233,Debit Card
920,21298,Debit Card
921,5281,Credit Card
922,25850,Debit Card
923,35103,Gift Card/Voucher
924,31720,Cash
925,16830,Gift Card/Voucher
926,17614,Cash
927,36443,Debit Card
928,38564,Credit Card
929,16704,Credit Card
930,24506,Cash
931,3418,Debit Card
932,11000,Debit Card
933,26737,Cash
934,12242,Credit Card
935,3806,Cash
936,12568,Credit Card
937,26861,Credit Card
938,25618,Gift Card/Voucher
939,9261,Gift Card/Voucher
940,15648,Debit Card
941,5979,Debit Card
942,12076,Credit Card
943,31193,Cash
944,10704,Gift Card/Voucher
945,11640,Cash
946,200,Gift Card/Voucher
947,15976,Debit Card
948,25816,Gift Card/Voucher
949,25820,Credit Card
950,31974,Gift Card/Voucher
951,15048,Credit Card
952,3572,Credit Card
953,14804,Debit Card
954,11701,Gift Card/Voucher
955,27506,Cash
956,39695,Debit Card
957,32048,Credit Card
958,37190,Gift Card/Voucher
959,19781,Cash
960,6541,Gift Card/Voucher
961,10681,Credit Card
962,32159,Debit Card
963,18248,Cash
964,18222,Credit Card
965,13846,Cash
966,31642,Credit Card
967,14595,Gift Card/Voucher
968,17958,Cash
969,32976,Cash
970,28589,Gift Card/Voucher
971,11989,Gift Card/Voucher
972,9196,Gift Card/Voucher
973,345,Credit Card
974,368,Credit Card
975,6121,Cash
976,18932,Cash
977,21941,Cash
978,16499,Debit Card
979,29192,Credit Card
980,545,Gift Card/Voucher
981,28561,Cash
982,9661,Gift Card/Voucher
983,34690,Gift Card/Voucher
984,23427,Debit Card
985,3461,Debit Card
986,11705,Cash
987,4416,Credit Card
988,10517,Credit Card
989,26833,Gift Card/Voucher
990,13846,Cash
991,10886,Cash
992,22754,Cash
993,25338,Cash
994,19417,Debit Card
995,12193,Credit Card
996,10529,Debit Card
997,14934,Debit Card
998,37002,Credit Card
999,4936,Gift Card/Voucher
1000,23984,Cash
1001,6776,Gift Card/Voucher
1002,18159,Debit Card
1003,30476,Cash
1004,5662,Gift Card/Voucher
1005,19008,Cash
1006,33167,Credit Card
1007,18403,Cash
1008,8733,Debit Card
1009,13581,Cash
1010,18118,Gift Card/Voucher
1011,16200,Debit Card
1012,36128,Cash
1013,6047,Cash
1014,20294,Gift Card/Voucher
1015,23564,Cash
1016,13287,Gift Card/Voucher
1017,14981,Gift Card/Voucher
1018,38055,Gift Card/Voucher
1019,3108,Credit Card
1020,15482,Debit Card
1021,31451,Credit Card
1022,38606,Debit Card
1023,15151,Gift Card/Voucher
1024,6255,Gift Card/Voucher
1025,16131,Debit Card
1026,15572,Credit Card
1027,31374,Debit Card
1028,10499,Gift Card/Voucher
1029,13361,Gift Card/Voucher
1030,37198,Credit Card
1031,39545,Debit Card
1032,4397,Cash
1033,39087,Credit Card
1034,31469,Cash
1035,5921,Gift Card/Voucher
1036,26493,Gift Card/Voucher
1037,21747,Cash
1038,18578,Credit Card
1039,8472,Cash
1040,9437,Credit Card
1041,13740,Cash
1042,21025,Cash
1043,39777,Gift Card/Voucher
1044,39575,Gift Card/Voucher
1045,14901,Credit Card
1046,17205,Debit Card
1047,17009,Cash
1048,16720,Gift Card/Voucher
1049,20056,Debit Card
1050,30439,Cash
1051,25717,Gift Card/Voucher
1052,35386,Gift Card/Voucher
1053,19132,Credit Card
1054,18431,Cash
1055,37352,Credit Card
1056,9288,Gift Card/Voucher
1057,6607,Cash
1058,30934,Cash
1059,27772,Cash
1060,17712,Debit Card
1061,2365,Debit Card
1062,705,Cash
1063,37537,Credit Card
1064,36324,Gift Card/Voucher
1065,20971,Debit Card
1066,22662,Gift Card/Voucher
1067,31476,Gift Card/Voucher
1068,20314,Debit Card
1069,16381,Gift Card/Voucher
1070,30506,Cash
1071,17819,Debit Card
1072,1342,Cash
1073,3181,Debit Card
1074,13838,Debit Card
1075,16487,Debit Card
1076,34325,Cash
1077,25373,Cash
1078,26700,Cash
1079,5155,Cash
1080,4040,Cash
1081,1848,Gift Card/Voucher
1082,6150,Debit Card
1083,27443,Gift Card/Voucher
1084,37555,Debit Card
1085,29797,Cash
1086,2869,Debit Card
1087,29818,Cash
1088,119,Debit Card
1089,37112,Credit Card
1090,29609,Credit Card
1091,29149,Cash
1092,36418,Cash
1093,9396,Debit Card
1094,9032,Credit Card
1095,23921,Credit Card
1096,24848,Debit Card
1097,31438,Credit Card
1098,15078,Debit Card
1099,23930,Credit Card
1100,5634,Cash
1101,20815,Credit Card
1102,12157,Gift Card/Voucher
1103,28866,Credit Card
1104,26070,Credit Card
1105,16701,Debit Card
1106,24546,Credit Card
1107,9780,Cash
1108,3177,Credit Card
1109,647,Gift Card/Voucher
1110,13004,Cash
1111,1759,Gift Card/Voucher
1112,6104,Credit Card
1113,19372,Gift Card/Voucher
1114,7305,Gift Card/Voucher
1115,947,Debit Card
1116,34438,Debit Card
1117,10955,Debit Card
1118,31978,Credit Card
1119,33720,Debit Card
1120,31437,Debit Card
1121,6589,Gift Card/Voucher
1122,4868,Gift Card/Voucher
1123,20073,Cash
1124,3628,Debit Card
1125,30893,Credit Card
1126,27114,Debit Card
1127,36165,Cash
1128,29565,Credit Card
1129,34651,Gift Card/Voucher
1130,10284,Gift Card/Voucher
1131,4585,Debit Card
1132,21096,Gift Card/Voucher
1133,13766,Debit Card
1134,24151,Cash
1135,30376,Cash
1136,26130,Credit Card
1137,31807,Credit Card
1138,636,Gift Card/Voucher
1139,14088,Cash
1140,29330,Debit Card
1141,15927,Credit Card
1142,19112,Gift Card/Voucher
1143,30871,Debit Card
1144,32214,Cash
1145,17097,Gift Card/Voucher
1146,31143,Gift Card/Voucher
1147,9073,Debit Card
1148,30365,Credit Card
1149,13207,Cash
1150,26489,Credit Card
1151,34439,Cash
1152,12684,Credit Card
1153,29332,Gift Card/Voucher
1154,29041,Credit Card
1155,17273,Gift Card/Voucher
1156,19087,Credit Card
1157,29971,Credit Card
1158,35357,Credit Card
1159,24942,Gift Card/Voucher
1160,20018,Gift Card/Voucher
1161,36044,Credit Card
1162,25004,Debit Card
1163,4908,Credit Card
1164,2611,Cash
1165,35423,Gift Card/Voucher
1166,20094,Credit Card
1167,38998,Credit Card
1168,37383,Debit Card
1169,15849,Credit Card
1170,23266,Cash
1171,15297,Cash
1172,16315,Gift Card/Voucher
1173,25919,Credit Card
1174,23236,Gift Card/Voucher
1175,25309,Credit Card
1176,27315,Credit Card
1177,17294,Debit Card
1178,5444,Credit Card
1179,1192,Credit Card
1180,35418,Debit Card
1181,31543,Cash
1182,10734,Debit Card
1183,12354,Cash
